Ticker,Price,Accuracy
EULIF,0.045,1.0
NUMIF,0.032,1.0
STHFF,0.012,1.0
BRIOF,0.05,1.0
MYCOF,0.005,1.0
TBRIF,0.027,1.0
UNQL,0.0063,1.0
BITTF,0.025,1.0
KOSK,0.016,1.0
AIGFF,0.04,1.0
LPTV,0.04,1.0
ARXRF,0.014,1.0
PRVCF,0.018,1.0
ZCTSF,0.047,1.0
CLCFF,0.031,1.0
GUELF,0.05,1.0
MYLKF,0.01,1.0
AGYP,0.005,1.0
SBLRF,0.023,1.0
GRYCF,0.014,1.0
LAAB,0.034,1.0
NLPXF,0.03,1.0
QMCQF,0.038,1.0
BLIAQ,0.01,1.0
IMPM,0.05,1.0
GVSI,0.008,1.0
PRPRF,0.041,1.0
REZZF,0.016,1.0
OWPC,0.027,1.0
BBUZ,0.031,1.0
ACAN,0.04,1.0
HECOF,0.04,1.0
HPST,0.009,1.0
EVKRF,0.027,1.0
SENR,0.05,1.0
KTRIF,0.05,1.0
PEMSF,0.019,1.0
AMMPF,0.028,1.0
QWTR,0.043,1.0
KPIFF,0.05,1.0
LMMFF,0.012,1.0
QDROF,0.023,1.0
ARYMF,0.021,1.0
SPMTF,0.013,1.0
DTMXF,0.0066,1.0
ENTEF,0.039,1.0
AABB,0.03,1.0
POFCY,0.05,1.0
INVU,0.024,1.0
CANN,0.035,1.0
NBND,0.019,1.0
LLLI,0.0088,1.0
FUSEF,0.04,1.0
NAUH,0.04,1.0
ORLCF,0.019,1.0
MCFNF,0.042,1.0
PMEDF,0.014,1.0
ALID,0.035,1.0
ICDIQ,0.027,1.0
EVFM,0.01,1.0
NGTF,0.009,1.0
COFE,0.034,1.0
RECHF,0.033,1.0
FEMFF,0.045,1.0
STEK,0.047,1.0
SITS,0.05,1.0
CBDS,0.047,1.0
SNNGF,0.03,1.0
GTRIF,0.007,1.0
CBTTF,0.048,1.0
STRH,0.02,1.0
TOGI,0.0096,1.0
CMTNF,0.035,1.0
AVRW,0.035,1.0
MDRM,0.009,1.0
DROR,0.012,1.0
QYOUF,0.03,1.0
CPNFF,0.032,1.0
ENSV,0.032,1.0
FNICF,0.021,1.0
GRAM,0.046,1.0
SGCPF,0.008,1.0
GNOLF,0.009,1.0
AGNMF,0.048,1.0
CGNSF,0.005,1.0
APYP,0.013,1.0
ARWYF,0.047,1.0
TNYBF,0.021,1.0
MEDIF,0.048,1.0
YGTFF,0.046,1.0
GVXXF,0.033,1.0
VSMR,0.029,1.0
RTON,0.039,1.0
USDP,0.036,1.0
GARWF,0.04,1.0
BCUFF,0.029,1.0
BULT,0.05,1.0
FTRS,0.017,1.0
BABYF,0.023,1.0
KAIFF,0.008,1.0
HGYN,0.05,1.0
BBRRF,0.0093,1.0
EGYF,0.025,1.0
LBUY,0.017,1.0
GPAK,0.012,1.0
CAPV,0.006,1.0
VVCVF,0.022,1.0
MDMP,0.011,1.0
AZLAF,0.011,1.0
GBBGF,0.026,1.0
HHSE,0.0086,1.0
HTOOW,0.035,1.0
ATCLF,0.0097,1.0
SNNAF,0.019,1.0
IVCTF,0.048,1.0
HYSR,0.03,1.0
STSN,0.01,1.0
ASDRF,0.04,1.0
ORFDF,0.044,1.0
AASZF,0.01,1.0
FFNTF,0.011,1.0
SCLTF,0.01,1.0
LUXFF,0.026,1.0
SDCH,0.04,1.0
RMHB,0.0064,1.0
IBRLF,0.02,1.0
LMLLF,0.012,1.0
INNI,0.014,1.0
PBMRF,0.0051,1.0
CYLYF,0.011,1.0
XERI,0.025,1.0
